NAME,room type,price,review rate,house_rule,city,latitude,longitude
1012하우스 남산,게스트하우스,0,5,,서울 중구,37.5576281,126.984068
24게스트하우스 서울역점,게스트하우스,0,5,,서울 용산구,37.5527099,126.9747177
24게스트하우스 잠실점,게스트하우스,0,3.7,,서울 송파구,37.5020382,127.088663
24게스트하우스 동대문시장점,게스트하우스,0,3.3,"예약가능,와이파이",서울 종로구,37.5660169,126.9808193
투유원룸호스텔,"고시원,고시텔",0,5,,서울 중구,37.5686601,126.9982154
사월호텔,"여관,모텔",0,4.4,"주차가능,배달가능,와이파이",서울 강남구,37.5018974,127.0421303
비마이게스트하우스,게스트하우스,0,4,,서울 중구,37.5584486,126.9838608
세븐일레븐 숭인IBC호텔점,편의점,0,3.5,,서울 종로구,37.5719612,127.0233559
JW 메리어트 동대문 스퀘어 서울,호텔,0,3.7,예약가능,서울 종로구,37.5703683,127.0088222
JW 메리어트 호텔 서울,호텔,0,4.1,"주차가능,휠체어사용,예약가능,와이파이",서울 서초구,37.5041078,127.0040297
L7 홍대바이롯데,호텔,0,3.7,"주차가능,휠체어사용,예약가능,와이파이",서울 마포구,37.5540161,126.919782
MK리버티하우스 서울역본점,게스트하우스,0,3.3,예약가능,서울 용산구,37.554709,126.9684376
MW호텔,"여관,모텔",0,1,,서울 송파구,37.5072462,127.0844294
호텔엔유 종합운동장점,"여관,모텔",0,2.3,,서울 송파구,37.5083623,127.081665
부띠크 호텔SB,"여관,모텔",0,1.4,"주차가능,휠체어사용",서울 영등포구,37.5175164,126.9084851
홈스위트홈 잠실점,생활용품점,0,1,주차가능,서울 송파구,37.5283606,126.9057287
와이즈하우스,게스트하우스,0,4.5,,서울 마포구,37.5598873,126.9254959
써클호텔 합정점,게스트하우스,0,3.3,,서울 마포구,37.5590594,126.9210272
가락관광호텔,호텔,0,2.6,주차가능,서울 마포구,37.5524559,126.9195565
강남아르누보씨티,호텔,0,2.9,,서울 송파구,37.4945055,127.1204267
강남패밀리호텔,호텔,0,5,,서울 서초구,37.4934031,127.0281179
호텔갤럭시,호텔,0,3.8,,서울 강남구,37.5136217,127.056755
게스트하우스 몽자,"여관,모텔",0,5,,서울 영등포구,37.5286707,126.9079258
게스트하우스강남,게스트하우스,0,3.9,,서울 용산구,37.531993,126.9957181
골든서울호텔,게스트하우스,0,3.7,,서울 강남구,37.5263529,127.0306863
골든호텔,호텔,0,3.3,,서울 강서구,37.5478537,126.8781777
국제청소년센터 유스호스텔,"여관,모텔",0,4.8,,서울 강서구,37.5600285,126.8300028
그랜드워커힐서울,유스호스텔,0,4.3,,서울 강서구,37.5687737,126.8116963
그랜드인터컨티넨탈 서울파르나스,호텔,0,4.2,"주차가능,휠체어사용,예약가능,와이파이",서울 광진구,37.5553271,127.1101533
그랜드 하얏트 서울,호텔,0,3.9,"주차가능,휠체어사용,예약가능",서울 강남구,37.5090726,127.0607194
그린파크모텔,호텔,0,2.7,,서울 용산구,37.5394909,126.997681
나루하우스,"여관,모텔",0,2.5,,서울 서대문구,37.5728887,127.0167961
나무호텔,게스트하우스,0,4.1,"주차가능,예약가능,와이파이",서울 마포구,37.5518796,126.9180092
나비호스텔,호텔,0,4.3,,서울 광진구,37.5470766,127.1070849
