Name,City,Cuisines,Average Cost,Aggregate Rating,latitude,longitude
101번지남산돈까스 본점,서울 중구,"돈까스,우동",13030.76923,3.3,37.55694945,126.9857467
10꼬르소꼬모 청담점,서울 강남구,카페,17100,3.3,37.52692769,127.0424057
1940금문,서울 종로구,중국요리,12250,2.7,37.58539563,127.000634
1인1잔,서울 은평구,카페,6016.666667,3.6,37.64097031,126.9379326
2카페,서울 영등포구,카페,8763.333333,5,37.52835121,126.8983845
31금룡 삼일빌딩점,서울 종로구,중국요리,144333.3333,4.3,37.56859139,126.9871639
33에이커,서울 강동구,양식,33421.05263,4,37.56316852,127.1498298
3대삼계장인,서울 서초구,삼계탕,24250,3.8,37.49135587,127.0115564
3일한우국밥,서울 영등포구,국밥,12178.57143,3.6,37.51992618,126.9040519
566라멘,서울 마포구,일본식라면,11833.33333,4.1,37.56056293,126.9208808
5TO7,서울 성동구,카페,9333.333333,3.8,37.54608263,127.0433219
63뷔페 파빌리온 용산점,서울 용산구,뷔페,53555.55556,3.8,37.52905546,126.9646062
943킹스크로스,서울 마포구,테마카페,14166.66667,4.1,37.5529891,126.9208095
BBC어스,서울 중구,스포츠의류,0,4,37.56358319,126.9834285
BK볏짚직화구이 장안동본점,서울 동대문구,"육류,고기",15800,3.1,37.57055526,127.0716023
보메청담,서울 중구,양식,0,4.5,37.56549942,127.0230339
블랙랩,서울 강남구,카페,4180,3.7,37.506703,127.0490536
카페종로시장,서울 종로구,카페,4833.333333,4.4,37.56945411,126.9836887
다피타,서울 서초구,이탈리안,21800,3.5,37.48284714,127.006422
그라운드62,서울 종로구,갤러리카페,8000,3.2,37.60832012,126.963204
HDD,서울 성동구,피자,22333.33333,3.7,37.54297374,127.0532166
아이오유,서울 용산구,이탈리안,72000,3.7,37.53515253,126.9456236
저스트스테이크,서울 강남구,"스테이크,립",14266.66667,3.5,37.52313167,127.0344034
로와이드 서울숲점,서울 성동구,카페,6100,4.1,37.54694119,127.0410467
무오키,서울 강남구,양식,190000,4.4,37.51902956,127.0422384
우현증메르시,서울 강남구,메이크업,189526.3158,4.2,37.5222044,127.0316632
33rpm,서울 중구,양식,19666.66667,5,37.56464964,127.0117941
RSG,서울 성동구,카페,5233.333333,3.9,37.54259209,127.0599659
쎈느,서울 성동구,카페,6660,3.8,37.54489277,127.0534442
써머레인,서울 용산구,디저트카페,16714.28571,3.1,37.53635437,126.9992646
더라운드 삼성점,서울 강남구,중식,36647.05882,3,37.52005652,127.0575995
카멜 성수점,서울 강남구,카페,5307.692308,3.4,37.53724034,127.055894
카모플라쥬,서울 성동구,카페,0,4.6,37.54898656,127.0456841
미누씨,서울 성동구,양식,20840,4.1,37.4817004,127.0435628
mtl 효창,서울 강남구,카페,7345,3.4,37.54200619,126.9609169
가나돈까스의집,서울 용산구,"돈까스,우동",12900,3,37.50986786,127.0377995
가담,서울 강남구,중식,28038.46154,3.3,37.52637641,127.0302689
가락골마산아구찜,서울 강남구,아구,59117.64706,3.7,37.49746742,127.1217255
가람국시 논현동점 (휴업중),서울 송파구,국수,21250,3.7,37.52437305,127.040704
가마골,서울 강남구,한식,54200,4.4,37.49936787,127.0337513
가마로강정 신길삼거리점,서울 종로구,닭강정,9937.5,4.9,37.51458727,126.9177656
가문,서울 영등포구,중국요리,11404.7619,4.1,37.55876366,126.937435
가미분식,서울 강북구,분식,9000,4,37.60644444,127.0946956
가미우동,서울 서대문구,"돈까스,우동",7450,4.4,37.55468317,126.9238577
가산물갈비&즉석소불고기,서울 마포구,"불고기,두루치기",66500,4,37.47727586,126.8836615
가야밀냉면해물칼국수 본점,서울 금천구,한식,10916.66667,4.5,37.65578001,126.9477048
가야성,서울 은평구,중식,20618.91892,4.4,37.56650031,126.9885089
가양칼국수,서울 동작구,한식,15000,4.2,37.52093631,126.9313694
가정식당,서울 영등포구,한식,10300,5,37.52122645,126.8946792
가조쿠,서울 강남구,일식,11156.25,3.9,37.54319904,127.0531013
가쯔야 무교본점,서울 성동구,"돈까스,우동",18666.66667,4.3,37.56785634,126.981595
각시보쌈,서울 중구,"족발,보쌈",31363.63636,3.7,37.54751127,126.9134497
대성갈비,서울 마포구,갈비,24555.55556,3.3,37.59289917,126.9176048
갈비명가이상 돈암본관,서울 성동구,갈비,53428.57143,3,37.6014129,127.0236451
갈비사랑,서울 성동구,갈비,60300,5,37.49563131,127.0270902
갈현동할머니떡볶이,서울 성북구,떡볶이,2875,3.4,37.57061289,126.9610378
감꽃당,서울 서초구,디저트카페,7115,2.8,37.57379762,126.9900836
감나무집기사식당,서울 은평구,기사식당,12800,3.9,37.56170894,126.9221585
감동식당,서울 종로구,한식,9175,4.8,37.57933329,126.982088
감미옥,서울 마포구,한식,12025.64103,2.4,37.87802517,127.7378407
소고기땡기는날 값진식육,서울 노원구,한식,22933.33333,4,37.51902885,126.8896859
갓덴스시 강남점,서울 서초구,"초밥,롤",5838.461538,4.1,37.49877715,127.0290907
갓잇 송리단길점,서울 영등포구,양식,23250,4.2,37.51001826,127.1079867
갓파스시 구로점,서울 강남구,"초밥,롤",9903.703704,2.8,37.48373843,126.8958173
갓포마코토,서울 송파구,일식,36200,4.1,37.52661685,127.034034
갓포아키 도산공원점,서울 구로구,일식집,23800,4.3,37.52299417,127.036236
갓포준X에스테반,서울 강남구,일식,28000,4,37.52415792,127.0274998
강가네돌솥밥추어탕,서울 강남구,추어,9500,3.3,37.48035759,126.9085706
강강술래 신림점,서울 강남구,갈비,25079.16667,2.9,37.48458101,126.9350321
강남목장,서울 금천구,"육류,고기",31043.47826,3.8,37.5004272,127.0402997
강남진해장,서울 관악구,"찌개,전골",38777.77778,3.3,37.49958439,127.0293081
강동반상,서울 강남구,한식,18300,3.3,37.54977434,127.1753261
강동해물찜해천탕,서울 강남구,"매운탕,해물탕",59818.18182,3.4,37.53224198,127.1385853
강서면옥,서울 강동구,냉면,27400,2.3,37.56209302,126.9739225
강수사,서울 강동구,일식,50166.66667,4.3,37.57134702,126.9342187
강촌쌈밥,서울 중구,쌈밥,12000,5,37.60216644,127.0219829
강한만두,서울 서대문구,분식,0,5,37.5693158,127.012731
개뿔,서울 성북구,갤러리카페,7300,4.1,37.57819101,127.0080695
개성만두 궁,서울 중구,한식,21187.5,4.1,37.57428367,126.9853924
개화,서울 종로구,중국요리,10500,2.9,37.56210893,126.9818771
개화산장,서울 종로구,오리,58333.33333,4.3,37.57380097,126.8039176
개화옥,서울 중구,한식,36300,1.8,37.5277399,127.0386095
갤러리더스퀘어,서울 강서구,카페,8500,4.3,37.58296584,126.987012
갤러리카페3안,서울 강남구,갤러리카페,0,4,37.58695492,126.9829987
갯마을,서울 종로구,"해물,생선",39500,4.1,37.56872939,126.9885901
갯마을풍천장어,서울 종로구,장어,35857.14286,4.4,37.6877901,127.0431729
거울한옥미러룸,서울 성북구,카페,7652.173913,3.4,37.58006024,126.9811425
거창왕돈가스전문점,서울 도봉구,"돈까스,우동",13600,2.9,37.52172273,126.9266062
숯불부자곱창,서울 종로구,"곱창,막창",15258.33333,3.6,37.54222588,127.0704776
게방식당,서울 영등포구,"게,대게",17500,3.1,37.52604137,126.9282989
경동함흥냉면,서울 광진구,냉면,11333.33333,3.6,37.58009566,127.0395841
경복궁 창동점,서울 강남구,한정식,53400,3.1,37.65889098,127.0412307
경복궁에맛있는부엌,서울 동대문구,한식,8000,3.4,37.57623777,126.9701819
경복식당,서울 도봉구,한식,5500,4.6,37.62377229,127.0786991
경천애인2237 삼성본점,서울 종로구,"육류,고기",12400,4.1,37.50596086,127.0525569
경천애인2237 삼성본점,서울 노원구,"육류,고기",12400,4.1,37.50596086,127.0525569
경회루,서울 강남구,한정식,46090.90909,2.7,37.61994575,127.0746048
종로계림닭도리탕 충무로직영점,서울 강남구,닭요리,39000,3.2,37.56238414,126.9955179
계림 종로본점,서울 강남구,닭요리,42000,3.9,37.57015789,126.9945032
샤브촌by계백집,서울 강남구,샤브샤브,11666.66667,3.3,37.51196551,127.0594177
계월곰탕,서울 강남구,곰탕,14750,3.6,37.53956044,127.0476313
숯불닭갈비 계자람 성수 본점,서울 강남구,닭요리,12800,4.5,37.53775876,127.0551601
카페고고스,서울 강남구,카페,6500,4.2,37.48646348,127.0232244
서윤피부맑음 명동점,서울 강남구,피부관리,0,4.4,37.56876511,126.9795618
경복궁 고궁뜨락,서울 노원구,카페,4300,3.8,37.57659207,126.9749771
고궁의아침,서울 중구,"육류,고기",22300,3.7,37.57624151,126.9975774
고기다,서울 종로구,"육류,고기",20628.57143,3.3,37.57051813,127.0167417
고기창고,서울 송파구,"육류,고기",23833.33333,4.4,37.48096865,127.1212646
고대앞멸치국수,서울 성동구,국수,6875,2.7,37.58626766,127.0330693
고도식 잠실점,서울 성동구,"육류,고기",18538.46154,3.7,37.51035372,127.1086579
고두리 용산점,서울 서초구,두부전문점,14214.28571,4.1,37.53124162,126.9689779
고든램지버거 롯데월드몰,서울 중구,햄버거,30823.52941,3.7,37.51318389,127.1014309
고라니커피클럽,서울 종로구,카페,4500,4.2,37.54167084,126.9732043
고래불 강남역삼본점,서울 종로구,회,76866.66667,3.6,37.49625663,127.0339614
고래맥주창고 공릉경춘선숲길점,서울 성동구,주류판매,9900,2,37.62308157,127.0795355
고려삼계탕,서울 서초구,삼계탕,31285.71429,4.7,37.50388211,127.0257722
고려정,서울 동대문구,"사철탕,영양탕",26833.33333,4.5,37.65442593,127.0631325
고른햇살,서울 송파구,분식,8400,4.3,37.58700023,127.0294465
고모네원조콩탕황태탕,서울 용산구,한식,22764.70588,4.3,37.52966821,127.1359287
고미소곱창,서울 송파구,"곱창,막창",13160,4.5,37.58181443,127.0477681
고미정,서울 용산구,한정식,23000,3.9,37.57270365,126.9370339
고바우소곱창 노원점,서울 강남구,"곱창,막창",25400,3.7,37.65305987,127.0582086
고봉삼계탕,서울 노원구,삼계탕,28454.54545,3.7,37.53053049,126.9203706
고성막국수,서울 중구,국수,19200,3.4,37.57745706,126.8161479
고양이똥,서울 노원구,카페,0,3.9,37.55268383,126.8539247
고양이정원,서울 성북구,고양이카페,14000,2.6,37.57569903,126.8031723
고운돈카츠 본점,서울 강동구,"돈까스,우동",13500,4.4,37.54459059,127.0542056
남도사계고운님,서울 동대문구,"해물,생선",21315.78947,3.8,37.50432851,127.0558921
고추장구이,서울 서대문구,"육류,고기",11000,3.5,37.54795365,127.1322615
고티,서울 노원구,"호프,요리주점",10800,4.1,37.53993228,127.069904
고향,서울 영등포구,한식,12600,3.6,37.5172088,126.9075031
고향냉면,서울 강서구,냉면,8000,4.6,37.51144184,126.9127086
고향풍천장어,서울 강서구,장어,0,5,37.55708601,126.8613257
고희,서울 강서구,디저트카페,9605.263158,4.6,37.54790714,127.1556327
골드피쉬딤섬퀴진,서울 성동구,중국요리,13457.14286,4,37.52607082,127.0371006
골목냉면,서울 강남구,냉면,9333.333333,2.7,37.54855727,127.0219898
