name,latitude,longitude,category,cluster_id,total_places,avg_review_rate,category_rank_1,category_rank_2,category_rank_3
101번지남산돈까스 본점,37.55694945,126.9857467,restaurant,185,19,3.621052631578947,lodgement,restaurant,
10꼬르소꼬모 청담점,37.52692769,127.0424057,restaurant,349,26,3.773076923076923,restaurant,,
1940금문,37.58539563,127.000634,restaurant,164,12,4.1000000000000005,restaurant,,
1인1잔,37.64097031,126.9379326,restaurant,116,7,2.8428571428571425,lodgement,restaurant,
2카페,37.52835121,126.8983845,restaurant,270,17,4.047058823529412,restaurant,,
31금룡 삼일빌딩점,37.56859139,126.9871639,restaurant,142,29,3.706896551724138,restaurant,lodgement,
33에이커,37.56316852,127.1498298,restaurant,45,3,3.6999999999999997,restaurant,,
3대삼계장인,37.49135587,127.0115564,restaurant,314,6,3.3166666666666664,restaurant,lodgement,
3일한우국밥,37.51992618,126.9040519,restaurant,266,13,3.4615384615384617,restaurant,lodgement,
566라멘,37.56056293,126.9208808,restaurant,233,9,3.8666666666666663,restaurant,lodgement,
5TO7,37.54608263,127.0433219,restaurant,78,48,3.8979166666666667,restaurant,,
63뷔페 파빌리온 용산점,37.52905546,126.9646062,restaurant,198,9,4.0,restaurant,lodgement,
943킹스크로스,37.5529891,126.9208095,restaurant,231,17,3.7941176470588234,restaurant,lodgement,
BBC어스,37.56358319,126.9834285,restaurant,186,43,3.511627906976744,restaurant,lodgement,
BK볏짚직화구이 장안동본점,37.57055526,127.0716023,restaurant,104,7,3.685714285714286,restaurant,lodgement,
보메청담,37.56549942,127.0230339,restaurant,149,4,3.925,restaurant,,
블랙랩,37.506703,127.0490536,restaurant,332,6,3.5,restaurant,,
카페종로시장,37.56945411,126.9836887,restaurant,158,57,3.7491228070175437,restaurant,lodgement,
다피타,37.48284714,127.006422,restaurant,312,5,3.12,restaurant,,
그라운드62,37.60832012,126.963204,restaurant,121,4,3.7,restaurant,,
HDD,37.54297374,127.0532166,restaurant,83,28,3.8535714285714286,restaurant,,
아이오유,37.53515253,126.9456236,restaurant,190,10,3.62,restaurant,,
저스트스테이크,37.52313167,127.0344034,restaurant,343,21,3.7857142857142856,restaurant,lodgement,
로와이드 서울숲점,37.54694119,127.0410467,restaurant,78,48,3.8979166666666667,restaurant,,
무오키,37.51902956,127.0422384,restaurant,334,10,3.8800000000000003,restaurant,,
우현증메르시,37.5222044,127.0316632,restaurant,344,8,4.1875,restaurant,,
33rpm,37.56464964,127.0117941,restaurant,152,19,3.9,restaurant,lodgement,
RSG,37.54259209,127.0599659,restaurant,85,19,3.857894736842105,restaurant,,
쎈느,37.54489277,127.0534442,restaurant,83,28,3.8535714285714286,restaurant,,
써머레인,37.53635437,126.9992646,restaurant,175,15,3.533333333333333,restaurant,lodgement,
더라운드 삼성점,37.52005652,127.0575995,restaurant,338,8,3.6,restaurant,,
카멜 성수점,37.53724034,127.055894,restaurant,81,11,4.190909090909091,restaurant,,
카모플라쥬,37.54898656,127.0456841,restaurant,77,19,4.005263157894737,restaurant,,
미누씨,37.4817004,127.0435628,restaurant,305,14,4.0285714285714285,restaurant,,
mtl 효창,37.54200619,126.9609169,restaurant,201,6,4.033333333333333,restaurant,,
가나돈까스의집,37.50986786,127.0377995,restaurant,322,6,3.733333333333333,restaurant,lodgement,
가담,37.52637641,127.0302689,restaurant,346,10,4.01,restaurant,lodgement,
가락골마산아구찜,37.49746742,127.1217255,restaurant,400,7,3.585714285714286,restaurant,lodgement,
가람국시 논현동점 (휴업중),37.52437305,127.040704,restaurant,349,26,3.773076923076923,restaurant,,
가마골,37.49936787,127.0337513,restaurant,323,10,3.7399999999999998,restaurant,,
가마로강정 신길삼거리점,37.51458727,126.9177656,restaurant,276,5,3.78,restaurant,,
가문,37.55876366,126.937435,restaurant,228,20,3.915,restaurant,lodgement,
가미분식,37.60644444,127.0946956,restaurant,67,1,4.0,restaurant,,
